campeonato;time_casa;time_visitante;data;odd_casa;odd_empate;odd_visitante;odd_1x;odd_12;odd_x2
brasileirao;Fortaleza;Criciúma;10/08 16:00;1.67;3.64;5.62;1.17;1.29;2.13
brasileirao;Cuiabá;Grêmio;10/08 19:00;2.14;3.16;3.77;1.29;1.37;1.69
brasileirao;Cruzeiro;Atlético MG;10/08 21:30;2.24;3.28;3.35;1.34;1.35;1.64
brasileirao;Vasco da Gama;Fluminense;10/08 21:30;2.68;3.14;2.79;1.44;1.37;1.47
brasileirao;Corinthians;Bragantino;10/08 21:30;2.18;3.20;3.60;1.30;1.36;1.67
brasileirao;Juventude;Botafogo FR;11/08 11:00;3.45;3.34;2.17;1.67;1.34;1.32
brasileirao;Flamengo;Palmeiras;11/08 16:00;2.00;3.39;3.92;1.25;1.34;1.81
brasileirao;Bahia;Vitória BA;11/08 16:00;1.63;3.90;5.50;1.17;1.26;2.20
brasileirao;São Paulo;Goianiense;11/08 16:00;1.61;3.71;6.32;1.14;1.28;2.25
brasileirao;Internacional;Athletico PR;11/08 19:00;1.94;3.32;4.29;1.24;1.34;1.83
brasileirao;Internacional;Juventude;14/08 19:30;1.64;3.90;5.50;1.17;1.27;2.19
brasileirao;Athletico PR;Juventude;17/08 15:00;1.68;3.78;5.24;1.18;1.28;2.12
brasileirao;Atlético MG;Cuiabá;17/08 16:00;1.64;3.87;5.46;1.17;1.27;2.18
brasileirao;Grêmio;Bahia;17/08 18:30;2.57;3.31;2.78;1.45;1.34;1.51
brasileirao;Bragantino;Fortaleza;17/08 18:30;2.21;3.32;3.38;1.33;1.34;1.65
brasileirao;Fluminense;Corinthians;17/08 21:00;1.91;3.36;4.36;1.23;1.33;1.86
brasileirao;Goianiense;Internacional;18/08 16:00;3.48;3.25;2.20;1.66;1.35;1.32
brasileirao;Criciúma;Vasco da Gama;18/08 16:00;2.15;3.42;3.42;1.33;1.33;1.68
brasileirao;Palmeiras;São Paulo;18/08 16:00;1.83;3.42;4.70;1.21;1.32;1.93
brasileirao;Botafogo FR;Flamengo;18/08 18:30;2.36;3.36;3.04;1.39;1.34;1.58
brasileirao;Vitória BA;Cruzeiro;19/08 20:00;3.36;3.36;2.20;1.66;1.34;1.34
